SB_biofilm_MAG_10_00467,Genbank,CDS,1,504,.,+,.,"ID=DJLPJCFJ_00001;Name=DJLPJCFJ_00001;protein_id=undefined;product=DNA protection during starvation protein 2"";function=undefined"
SB_biofilm_MAG_10_02241,Genbank,CDS,1,2337,.,+,.,"ID=DJLPJCFJ_00002;Name=DJLPJCFJ_00002;protein_id=undefined;product=Catalase-peroxidase"";function=undefined"
SB_biofilm_MAG_10_02571,Genbank,CDS,1,636,.,+,.,"ID=DJLPJCFJ_00003;Name=DJLPJCFJ_00003;protein_id=undefined;product=Peroxiredoxin"";function=undefined"
SB_biofilm_MAG_10_04274,Genbank,CDS,1,477,.,+,.,"ID=DJLPJCFJ_00004;Name=DJLPJCFJ_00004;protein_id=undefined;product=hypothetical protein"";function=undefined"
SB_biofilm_MAG_11_00355,Genbank,CDS,1,1197,.,+,.,ID=DJLPJCFJ_00005;Name=DJLPJCFJ_00005;protein_id=undefined;product=Inositol 2-dehydrogenase/D-chiro-inositol;function=undefined
SB_biofilm_MAG_11_00566,Genbank,CDS,1,867,.,+,.,"ID=DJLPJCFJ_00006;Name=DJLPJCFJ_00006;protein_id=undefined;product=Glucose-1-phosphate thymidylyltransferase 1"";function=undefined"
SB_biofilm_MAG_11_03758,Genbank,CDS,1,2277,.,+,.,"ID=DJLPJCFJ_00007;Name=DJLPJCFJ_00007;protein_id=undefined;product=Catalase-peroxidase"";function=undefined"
SB_biofilm_MAG_11_04506,Genbank,CDS,133,1266,.,+,.,"ID=DJLPJCFJ_00008;Name=DJLPJCFJ_00008;protein_id=undefined;product=Putative isomerase YitF"";function=undefined"
SB_biofilm_MAG_12_00484,Genbank,CDS,1,696,.,+,.,"ID=DJLPJCFJ_00009;Name=DJLPJCFJ_00009;protein_id=undefined;product=50S ribosomal protein L1"";function=undefined"
SB_biofilm_MAG_12_01746,Genbank,CDS,1,555,.,+,.,"ID=DJLPJCFJ_00010;Name=DJLPJCFJ_00010;protein_id=undefined;product=dCTP deaminase"";function=undefined"
SB_biofilm_MAG_12_01997,Genbank,CDS,1,846,.,+,.,"ID=DJLPJCFJ_00011;Name=DJLPJCFJ_00011;protein_id=undefined;product=hypothetical protein"";function=undefined"
SB_biofilm_MAG_12_02552,Genbank,CDS,1,339,.,+,.,"ID=DJLPJCFJ_00012;Name=DJLPJCFJ_00012;protein_id=undefined;product=Nitrogen regulatory protein P-II"";function=undefined"
SB_biofilm_MAG_13_00743,Genbank,CDS,1,1428,.,+,.,"ID=DJLPJCFJ_00013;Name=DJLPJCFJ_00013;protein_id=undefined;product=Glutamate synthase [NADPH] small chain"";function=undefined"
SB_biofilm_MAG_13_01522,Genbank,CDS,1,1959,.,+,.,ID=DJLPJCFJ_00014;Name=DJLPJCFJ_00014;protein_id=undefined;product=Putative multidrug export ATP-binding/permease;function=undefined
SB_biofilm_MAG_13_01932,Genbank,CDS,1,879,.,+,.,"ID=DJLPJCFJ_00015;Name=DJLPJCFJ_00015;protein_id=undefined;product=hypothetical protein"";function=undefined"
SB_biofilm_MAG_13_01988,Genbank,CDS,1,372,.,+,.,"ID=DJLPJCFJ_00016;Name=DJLPJCFJ_00016;protein_id=undefined;product=hypothetical protein"";function=undefined"
SB_biofilm_MAG_13_02087,Genbank,CDS,1,1218,.,+,.,"ID=DJLPJCFJ_00017;Name=DJLPJCFJ_00017;protein_id=undefined;product=Isocitrate dehydrogenase [NADP]"";function=undefined"
SB_biofilm_MAG_13_02101,Genbank,CDS,1,474,.,+,.,"ID=DJLPJCFJ_00018;Name=DJLPJCFJ_00018;protein_id=undefined;product=hypothetical protein"";function=undefined"
SB_biofilm_MAG_13_02130,Genbank,CDS,1,339,.,+,.,"ID=DJLPJCFJ_00019;Name=DJLPJCFJ_00019;protein_id=undefined;product=Nitrogen regulatory protein P-II 1"";function=undefined"
SB_biofilm_MAG_13_02428,Genbank,CDS,1,1395,.,+,.,"ID=DJLPJCFJ_00020;Name=DJLPJCFJ_00020;protein_id=undefined;product=Fumarate hydratase class II"";function=undefined"
